"Date","Open","High","Low","Close","Adj Close","Volume"
"Oct 20, 2020","263.06","269.70","262.88","267.56","267.56","18,763,200"
"Oct 19, 2020","265.53","268.55","259.88","261.40","261.40","13,587,000"
"Oct 16, 2020","267.38","271.37","265.30","265.93","265.93","16,622,700"
"Oct 15, 2020","267.60","269.04","263.67","266.72","266.72","15,416,100"
"Oct 14, 2020","277.62","278.75","271.50","271.82","271.82","15,577,800"
"Oct 13, 2020","277.58","279.10","273.39","276.14","276.14","18,063,300"
"Oct 12, 2020","270.20","280.18","267.87","275.75","275.75","31,019,300"
"Oct 09, 2020","264.52","264.75","262.17","264.45","264.45","14,107,800"
"Oct 08, 2020","259.75","264.62","259.15","263.76","263.76","16,312,800"
"Oct 07, 2020","259.21","260.18","254.82","258.12","258.12","23,133,400"
"Oct 06, 2020","261.78","265.69","258.24","258.66","258.66","18,696,900"
"Oct 05, 2020","262.20","264.87","260.84","264.65","264.65","12,822,300"
"Oct 02, 2020","261.21","265.15","259.18","259.94","259.94","16,367,600"
"Oct 01, 2020","265.35","268.33","264.80","266.63","266.63","20,009,800"
"Sep 30, 2020","261.98","266.08","260.10","261.90","261.90","20,142,500"
"Sep 29, 2020","257.81","263.33","256.90","261.79","261.79","20,200,200"
"Sep 28, 2020","259.40","259.60","254.82","256.82","256.82","18,826,300"
"Sep 25, 2020","249.40","255.75","246.61","254.82","254.82","18,351,300"
"Sep 24, 2020","246.50","252.24","245.62","249.53","249.53","20,006,800"
"Sep 23, 2020","255.26","257.99","248.15","249.02","249.02","19,641,300"
"Sep 22, 2020","253.31","255.32","248.22","254.75","254.75","30,293,100"
